iter	Passed	Remaining
411	3370	4809
412	3377	4801
413	3384	4791
414	3391	4780
415	3399	4771
416	3406	4761
417	3414	4753
418	3420	4743
419	3429	4736
420	3436	4726
421	3445	4718
422	3452	4708
423	3460	4701
424	3468	4692
425	3476	4684
426	3485	4677
427	3496	4672
428	3504	4663
429	3512	4656
430	3520	4647
431	3529	4640
432	3535	4630
433	3544	4621
434	3550	4611
435	3558	4603
436	3565	4593
437	3573	4585
438	3583	4579
439	3592	4572
440	3599	4562
441	3607	4553
442	3614	4544
443	3621	4535
444	3628	4525
445	3635	4515
446	3642	4506
447	3649	4496
448	3657	4487
449	3663	4477
450	3670	4468
451	3677	4459
452	3684	4448
453	3691	4440
454	3698	4429
455	3706	4421
456	3713	4411
457	3720	4403
458	3727	4393
459	3734	4383
460	3742	4375
461	3748	4365
462	3757	4357
463	3763	4347
464	3771	4339
465	3777	4329
466	3784	4319
467	3791	4310
468	3798	4300
469	3806	4291
470	3812	4282
471	3820	4273
472	3826	4263
473	3832	4253
474	3841	4245
475	3848	4236
476	3855	4227
477	3862	4217
478	3870	4209
479	3876	4199
480	3883	4190
481	3891	4182
482	3898	4172
483	3905	4164
484	3912	4154
485	3922	4148
486	3929	4139
487	3937	4131
488	3944	4121
489	3952	4113
490	3958	4103
491	3966	4095
492	3972	4085
493	3979	4076
494	3988	4068
495	3994	4059
496	4002	4050
497	4009	4041
498	4017	4033
499	4023	4023
500	4030	4014
501	4037	4005
502	4043	3995
503	4051	3987
504	4057	3977
505	4066	3969
506	4073	3960
507	4081	3952
508	4087	3943
509	4094	3934
510	4102	3926
511	4109	3916
512	4117	3908
513	4123	3899
514	4131	3890
515	4137	3881
516	4144	3872
517	4151	3862
518	4157	3853
519	4165	3844
520	4171	3835
521	4179	3827
522	4185	3817
523	4192	3808
524	4200	3800
525	4206	3790
526	4214	3782
527	4221	3773
528	4228	3765
529	4235	3755
530	4242	3747
531	4249	3738
532	4255	3728
533	4264	3721
534	4271	3712
535	4278	3704
536	4285	3695
537	4293	3687
538	4301	3678
539	4308	3669
540	4315	3661
541	4322	3652
542	4329	3643
543	4337	3635
544	4345	3628
545	4352	3619
546	4360	3611
547	4367	3602
548	4376	3594
549	4383	3586
550	4392	3579
551	4400	3571
552	4408	3563
553	4416	3555
554	4424	3547
555	4431	3538
556	4439	3531
557	4446	3522
558	4453	3513
559	4461	3505
560	4467	3496
561	4476	3488
562	4483	3479
563	4491	3472
564	4497	3462
565	4505	3454
566	4512	3446
567	4522	3439
568	4531	3432
569	4542	3427
570	4553	3421
571	4560	3412
572	4568	3404
573	4575	3395
574	4583	3387
575	4589	3378
576	4596	3369
577	4607	3363
578	4615	3355
579	4622	3347
580	4628	3338
581	4636	3329
582	4642	3320
583	4650	3312
584	4656	3303
585	4663	3294
586	4670	3285
587	4676	3276
588	4685	3269
589	4691	3260
590	4698	3251
591	4705	3242
592	4711	3233
593	4719	3225
594	4726	3216
595	4734	3209
596	4741	3200
597	4748	3192
598	4755	3183
599	4762	3175
600	4769	3166
601	4776	3157
602	4784	3150
603	4790	3140
604	4798	3133
605	4805	3124
606	4813	3116
607	4821	3108
608	4829	3100
609	4836	3092
610	4843	3083
611	4850	3074
612	4856	3065
613	4864	3057
614	4870	3048
615	4878	3041
616	4884	3032
617	4891	3023
618	4898	3014
619	4904	3005
620	4912	2998
621	4918	2989
622	4926	2981
623	4934	2973
624	4941	2964
625	4950	2957
626	4957	2948
627	4963	2940
628	4970	2931
629	4977	2923
630	4984	2914
631	4991	2906
632	4997	2897
633	5004	2888
634	5011	2880
635	5018	2872
636	5026	2864
637	5033	2856
638	5042	2848
639	5048	2839
640	5055	2831
641	5062	2823
642	5068	2814
643	5076	2806
644	5082	2797
645	5090	2789
646	5097	2780
647	5103	2772
648	5110	2763
649	5117	2755
650	5124	2747
651	5131	2738
652	5138	2730
653	5144	2721
654	5151	2713
655	5159	2705
656	5166	2697
657	5173	2689
658	5180	2680
